,business_id,name,full_address,latitude,longitude,stars,review_count,price_level
0,MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,"935 Race St, Philadelphia, PA, 19107",39.9555052,-75.1555641,4.0,80,1
1,MUTTqe8uqyMdBl186RmNeA,Tuna Bar,"205 Race St, Philadelphia, PA, 19106",39.953949,-75.1432262,4.0,245,3
2,ROeacJQwBeh05Rqg7F6TCg,BAP,"1224 South St, Philadelphia, PA, 19147",39.943223,-75.162568,4.5,205,1
3,QdN72BWoyFypdGJhhI5r7g,Bar One,"767 S 9th St, Philadelphia, PA, 19147",39.9398245705,-75.1574465632,4.0,65,1
4,aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,"901 N Delaware Ave, Philadelphia, PA, 19123",39.9625821,-75.1356571,3.5,65,2
5,ppFCk9aQkM338Rgwpl2F5A,Wawa,"3604 Chestnut St, Philadelphia, PA, 19104",39.954573,-75.1948936,3.0,56,2
6,O1oZpbZNDMH_gz8DhsZCdA,Wendy's,"700 E. Hunting Park, Philadelphia, PA, 19124",40.012141,-75.1150148,1.5,15,2
7,bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,"765 S 4th St, Philadelphia, PA, 19147",39.9385518,-75.1496356,4.5,183,1
8,bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,"4002 Spruce St, Philadelphia, PA, 19104",39.9516153765,-75.2033457223,4.0,46,2
9,n8ecak12IF_jhnPNs37AZA,Baltic Bakery,"2609 Edgemont St, Philadelphia, PA, 19125",39.9768798,-75.1161695,4.5,12,2
10,VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,"300 South St, Philadelphia, PA, 19147",39.9412993,-75.1477446,3.0,178,2
11,V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,"1900 Grant Ave, Ste M-N, Philadelphia, PA, 19115",40.0839955,-75.0354963,2.5,6,2
12,GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,"1128 S Broad St, Philadelphia, PA, 19146",39.9368911,-75.1672837,2.5,16,1
